Main Reason to Travel,Most Important Factor for Trip Planning,Favorite Activity,Most Appealing Destination,Ideal Group Size,Gender,Student,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Recommendation
To learn more about a language or a culture,Variety of activities at destination,Beach,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To learn more about a language or a culture,Variety of activities at destination,City,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To relax and escape work and responsibilities,Variety of activities at destination,Hike,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To relax and escape work and responsibilities,Variety of activities at destination,Run,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To relax and escape work and responsibilities,Variety of activities at destination,Cafes,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To relax and escape work and responsibilities,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To relax and escape work and responsibilities,Variety of activities at destination,Beach,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To relax and escape work and responsibilities,Variety of activities at destination,City,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To spend quality time with family/friends,Variety of activities at destination,Hike,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To spend quality time with family/friends,Variety of activities at destination,Run,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To spend quality time with family/friends,Variety of activities at destination,Cafes,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To spend quality time with family/friends,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To spend quality time with family/friends,Variety of activities at destination,Beach,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To spend quality time with family/friends,Variety of activities at destination,City,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To explore architecture and history,Variety of activities at destination,Hike,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To explore architecture and history,Variety of activities at destination,Run,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To explore architecture and history,Variety of activities at destination,Cafes,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To explore architecture and history,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To explore architecture and history,Variety of activities at destination,Beach,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To explore architecture and history,Variety of activities at destination,City,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To go on an adventure,Variety of activities at destination,Hike,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To go on an adventure,Variety of activities at destination,Run,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To go on an adventure,Variety of activities at destination,Cafes,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To go on an adventure,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To go on an adventure,Variety of activities at destination,Beach,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To go on an adventure,Variety of activities at destination,City,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To look at and appreciate beautiful places,Variety of activities at destination,Hike,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To look at and appreciate beautiful places,Variety of activities at destination,Run,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To look at and appreciate beautiful places,Variety of activities at destination,Cafes,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To look at and appreciate beautiful places,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To look at and appreciate beautiful places,Variety of activities at destination,Beach,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To look at and appreciate beautiful places,Variety of activities at destination,City,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To meet new people,Travel group size,Food,A relaxing day at the beach,5,Female,No,5,3,3,5,2,China/Taiwan
To learn more about a language or a culture,Travel group size,Food,A relaxing day at the beach,5,Female,No,5,3,3,5,2,China/Taiwan
To relax and escape work and responsibilities,Travel group size,Food,A relaxing day at the beach,5,Female,No,5,3,3,5,2,China/Taiwan
To spend quality time with family/friends,Travel group size,Food,A relaxing day at the beach,5,Female,No,5,3,3,5,2,China/Taiwan
To go on an adventure,Travel group size,Food,A relaxing day at the beach,5,Female,No,5,3,3,5,2,China/Taiwan
To see the wonders of nature,Aesthetic of destination,Food,A big metropolitan city,2,Female,Yes,4,7,3,5,3,China/Taiwan
To see the wonders of nature,Aesthetic of destination,Sightsee,A big metropolitan city,2,Female,Yes,4,7,3,5,3,China/Taiwan
To relax and escape work and responsibilities,Aesthetic of destination,Food,A big metropolitan city,2,Female,Yes,4,7,3,5,3,China/Taiwan
To relax and escape work and responsibilities,Aesthetic of destination,Sightsee,A big metropolitan city,2,Female,Yes,4,7,3,5,3,China/Taiwan
To spend quality time with family/friends,Aesthetic of destination,Food,A big metropolitan city,2,Female,Yes,4,7,3,5,3,China/Taiwan
To spend quality time with family/friends,Aesthetic of destination,Sightsee,A big metropolitan city,2,Female,Yes,4,7,3,5,3,China/Taiwan
To explore architecture and history,Aesthetic of destination,Food,A big metropolitan city,2,Female,Yes,4,7,3,5,3,China/Taiwan
To explore architecture and history,Aesthetic of destination,Sightsee,A big metropolitan city,2,Female,Yes,4,7,3,5,3,China/Taiwan
To go on an adventure,Aesthetic of destination,Food,A big metropolitan city,2,Female,Yes,4,7,3,5,3,China/Taiwan
To go on an adventure,Aesthetic of destination,Sightsee,A big metropolitan city,2,Female,Yes,4,7,3,5,3,China/Taiwan
To look at and appreciate beautiful places,Aesthetic of destination,Food,A big metropolitan city,2,Female,Yes,4,7,3,5,3,China/Taiwan
To look at and appreciate beautiful places,Aesthetic of destination,Sightsee,A big metropolitan city,2,Female,Yes,4,7,3,5,3,China/Taiwan
To share travel stories and view with friends and family back home,Aesthetic of destination,Food,A big metropolitan city,2,Female,Yes,4,7,3,5,3,China/Taiwan
To share travel stories and view with friends and family back home,Aesthetic of destination,Sightsee,A big metropolitan city,2,Female,Yes,4,7,3,5,3,China/Taiwan
To meet new people,Aesthetic of destination,Food,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To meet new people,Aesthetic of destination,Meet Locals,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To meet new people,Aesthetic of destination,City,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To meet new people,Aesthetic of destination,View,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To meet new people,Aesthetic of destination,Sky Terrace,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To meet new people,Aesthetic of destination,Skyscraper,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To meet new people,Aesthetic of destination,Architecture,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To meet new people,Aesthetic of destination,Party,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To meet new people,Aesthetic of destination,Dance Workshops,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To see the wonders of nature,Aesthetic of destination,Food,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To see the wonders of nature,Aesthetic of destination,Meet Locals,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To see the wonders of nature,Aesthetic of destination,City,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To see the wonders of nature,Aesthetic of destination,View,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To see the wonders of nature,Aesthetic of destination,Sky Terrace,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To see the wonders of nature,Aesthetic of destination,Skyscraper,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To see the wonders of nature,Aesthetic of destination,Architecture,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To see the wonders of nature,Aesthetic of destination,Party,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To see the wonders of nature,Aesthetic of destination,Dance Workshops,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To learn more about a language or a culture,Aesthetic of destination,Food,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To learn more about a language or a culture,Aesthetic of destination,Meet Locals,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To learn more about a language or a culture,Aesthetic of destination,City,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To learn more about a language or a culture,Aesthetic of destination,View,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To learn more about a language or a culture,Aesthetic of destination,Sky Terrace,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To learn more about a language or a culture,Aesthetic of destination,Skyscraper,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To learn more about a language or a culture,Aesthetic of destination,Architecture,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To learn more about a language or a culture,Aesthetic of destination,Party,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To learn more about a language or a culture,Aesthetic of destination,Dance Workshops,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To explore architecture and history,Aesthetic of destination,Food,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To explore architecture and history,Aesthetic of destination,Meet Locals,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To explore architecture and history,Aesthetic of destination,City,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To explore architecture and history,Aesthetic of destination,View,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To explore architecture and history,Aesthetic of destination,Sky Terrace,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To explore architecture and history,Aesthetic of destination,Skyscraper,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To explore architecture and history,Aesthetic of destination,Architecture,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To explore architecture and history,Aesthetic of destination,Party,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To explore architecture and history,Aesthetic of destination,Dance Workshops,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To go on an adventure,Aesthetic of destination,Food,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To go on an adventure,Aesthetic of destination,Meet Locals,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To go on an adventure,Aesthetic of destination,City,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To go on an adventure,Aesthetic of destination,View,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To go on an adventure,Aesthetic of destination,Sky Terrace,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To go on an adventure,Aesthetic of destination,Skyscraper,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To go on an adventure,Aesthetic of destination,Architecture,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To go on an adventure,Aesthetic of destination,Party,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To go on an adventure,Aesthetic of destination,Dance Workshops,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To share travel stories and view with friends and family back home,Aesthetic of destination,Food,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
